name,year,total
Acton,2023,3370
Adams-Normandie,2023,17754
Agoura Hills,2023,16109
Agua Dulce,2023,4010
Alhambra,2023,81321
Alondra Park,2023,8226
Altadena,2023,40992
Angeles Crest,2023,2524
Arcadia,2023,59131
Arleta,2023,32434
Arlington Heights,2023,19337
Artesia,2023,15981
Athens,2023,9853
Atwater Village,2023,11514
Avalon,2023,3240
Avocado Heights,2023,13217
Azusa,2023,48081
Baldwin Hills/Crenshaw,2023,33136
Baldwin Park,2023,70413
Bel-Air,2023,6965
Bell,2023,33189
Bell Gardens,2023,38709
Bellflower,2023,77385
Beverly Crest,2023,10301
Beverly Grove,2023,20936
Beverly Hills,2023,31920
Beverlywood,2023,7243
Boyle Heights,2023,87598
Bradbury,2023,1143
Brentwood,2023,33521
Broadway-Manchester,2023,28328
Burbank,2023,105009
Calabasas,2023,22593
Canoga Park,2023,61081
Carson,2023,93478
Carthay,2023,4735
Castaic,2023,11084
Castaic Canyons,2023,51436
Central-Alameda,2023,42999
Century City,2023,6230
Cerritos,2023,48370
Charter Oak,2023,8541
Chatsworth,2023,53963
Chesterfield Square,2023,8779
Chatsworth Reservoir,2023,0
Cheviot Hills,2023,7775
Chinatown,2023,14573
Citrus,2023,12743
Claremont,2023,38882
Commerce,2023,11946
Compton,2023,95742
Covina,2023,55221
Cudahy,2023,21834
Culver City,2023,39961
Cypress Park,2023,8176
Del Aire,2023,8407
Del Rey,2023,29666
Desert View Highlands,2023,2170
Diamond Bar,2023,46524
Downey,2023,112959
Downtown,2023,67095
Duarte,2023,21729
Eagle Rock,2023,33420
East Compton,2023,11519
East Hollywood,2023,62093
East Los Angeles,2023,113688
East Pasadena,2023,5206
East San Gabriel,2023,21326
East Whittier,2023,10061
Echo Park,2023,33340
El Monte,2023,104937
El Segundo,2023,16844
El Sereno,2023,38767
Elizabeth Lake,2023,0
Elysian Park,2023,2332
Elysian Valley,2023,7197
Encino,2023,48511
Exposition Park,2023,33630
Fairfax,2023,13701
Florence,2023,52140
Florence-Firestone,2023,62538
Gardena,2023,59442
Glassell Park,2023,22813
Glendale,2023,191989
Glendora,2023,52315
Gramercy Park,2023,9926
Granada Hills,2023,55812
Green Meadows,2023,35149
Green Valley,2023,0
Griffith Park,2023,0
Hacienda Heights,2023,54010
Hancock Park,2023,10730
Hansen Dam,2023,0
Harbor City,2023,25176
Harbor Gateway,2023,39074
Harvard Heights,2023,17147
Harvard Park,2023,9933
Halsey Canyon,2023,0
Hawaiian Gardens,2023,13738
Hawthorne,2023,90535
Hermosa Beach,2023,19197
Hidden Hills,2023,1686
Highland Park,2023,48220
Historic South-Central,2023,47809
Hollywood,2023,73865
Hollywood Hills,2023,20893
Hollywood Hills West,2023,13982
Huntington Park,2023,53701
Hyde Park,2023,35619
Industry,2023,12537
Inglewood,2023,107490
Irwindale,2023,1586
Jefferson Park,2023,23791
Koreatown,2023,102423
La Canada Flintridge,2023,20065
La Crescenta-Montrose,2023,19681
La Habra Heights,2023,6263
La Mirada,2023,46792
La Puente,2023,37581
La Verne,2023,30985
Ladera Heights,2023,7076
Lake Balboa,2023,25101
Lake Hughes,2023,0
Lake Los Angeles,2023,0
Lake View Terrace,2023,12514
Lakewood,2023,81301
Lancaster,2023,172508
Larchmont,2023,8363
Lawndale,2023,30988
Leimert Park,2023,12599
Lennox,2023,17387
Leona Valley,2023,935
Lincoln Heights,2023,27705
Littlerock,2023,0
Lomita,2023,20301
Long Beach,2023,456655
Lopez/Kagel Canyons,2023,1584
Los Feliz,2023,32549
Lynwood,2023,65356
Malibu,2023,8219
Manchester Square,2023,12785
Manhattan Beach,2023,34487
Mar Vista,2023,35643
Marina del Rey,2023,8625
Mayflower Village,2023,10108
Maywood,2023,24431
Mid-City,2023,48466
Mid-Wilshire,2023,42197
Mission Hills,2023,18230
Monrovia,2023,39411
Montebello,2023,61379
Montecito Heights,2023,17507
Monterey Park,2023,59769
Mount Washington,2023,13575
North El Monte,2023,2461
North Hills,2023,57237
North Hollywood,2023,77646
North Whittier,2023,6391
Northeast Antelope Valley,2023,19966
Northridge,2023,65135
Northwest Antelope Valley,2023,4041
Northwest Palmdale,2023,3526
Norwalk,2023,99312
Pacific Palisades,2023,23140
Pacoima,2023,74082
Palmdale,2023,169254
Palms,2023,39887
Palos Verdes Estates,2023,12731
Panorama City,2023,65413
Paramount,2023,52508
Pasadena,2023,139003
Pico Rivera,2023,61452
Pico-Robertson,2023,16644
Pico-Union,2023,36321
Playa del Rey,2023,11803
Playa Vista,2023,15450
Pomona,2023,150293
Porter Ranch,2023,24031
Quartz Hill,2023,10551
Ramona,2023,0
Rancho Dominguez,2023,3299
Rancho Palos Verdes,2023,41177
Rancho Park,2023,5484
Redondo Beach,2023,69645
Reseda,2023,67529
Ridge Route,2023,6310
Rolling Hills,2023,2560
Rolling Hills Estates,2023,9675
Rosemead,2023,50388
Rowland Heights,2023,45272
San Dimas,2023,36252
San Fernando,2023,23693
San Gabriel,2023,40139
San Marino,2023,12369
San Pasqual,2023,1995
San Pedro,2023,82922
Santa Clarita,2023,182514
Santa Fe Springs,2023,23046
Santa Monica,2023,89737
Sawtelle,2023,41245
Sepulveda Basin,2023,0
Shadow Hills,2023,14040
Sherman Oaks,2023,71352
Sierra Madre,2023,11009
Signal Hill,2023,11799
Silver Lake,2023,30261
South Diamond Bar,2023,3976
South El Monte,2023,20030
South Gate,2023,91272
South Park,2023,35107
South Pasadena,2023,26210
South San Gabriel,2023,7611
South San Jose Hills,2023,17600
South Whittier,2023,52330
Southeast Antelope Valley,2023,7838
Stevenson Ranch,2023,0
Studio City,2023,39737
Sun Valley,2023,69336
Sun Village,2023,1740
Sunland,2023,16612
Sylmar,2023,80544
Tarzana,2023,36901
Temple City,2023,36642
Toluca Lake,2023,9777
Topanga,2023,7970
Torrance,2023,143101
Tujunga,2023,27852
Tujunga Canyons,2023,7781
Unincorporated Catalina Island,2023,0
Unincorporated Santa Monica Mountains,2023,18663
Unincorporated Santa Susana Mountains,2023,24597
Universal City,2023,0
University Park,2023,22397
Val Verde,2023,0
Valinda,2023,18671
Valley Glen,2023,54382
Valley Village,2023,26824
Van Nuys,2023,111446
Venice,2023,32961
Vermont Knolls,2023,23835
Vermont Square,2023,50836
Vermont Vista,2023,25825
Vermont-Slauson,2023,30568
Vernon,2023,418
Veterans Administration,2023,1391
View Park-Windsor Hills,2023,11721
Vincent,2023,13366
Walnut,2023,27712
Walnut Park,2023,15230
Watts,2023,39505
West Adams,2023,21035
West Carson,2023,21847
West Compton,2023,6535
West Covina,2023,109104
West Hills,2023,39929
West Hollywood,2023,35012
West Los Angeles,2023,13567
West Puente Valley,2023,18691
West San Dimas,2023,0
West Whittier-Los Nietos,2023,23897
Westchester,2023,42483
Westlake,2023,105444
Westlake Village,2023,7560
Westmont,2023,34172
Westwood,2023,53830
Whittier,2023,84223
Whittier Narrows,2023,724
Willowbrook,2023,34894
Wilmington,2023,54180
Windsor Square,2023,6259
Winnetka,2023,51351
Woodland Hills,2023,73005